School,Type,Date,City,State,Time,Latitude,Longitude
Hoboken High School,High,1998-02-12,Hoboken,NJ,3:10 PM,40.7433066,-74.0323752
Reed City High School,High,1998-02-25,Reed City,MI,8:00 AM,43.875017,-85.51005
Marshall High School,High,1998-02-27,Fairfax,VA,12:20 PM,38.8462236,-77.3063733
Westside Middle School,Middle,1998-03-24,Jonesboro,AR,12:41 PM,35.8272257,-90.6949871
Coldwater High School,High,1998-03-25,Coldwater,MI,8:00 AM,41.941091,-85.0030617
Fernando Rivera Middle School,Middle,1998-03-25,Daly City,CA,8:15 AM,37.6904826,-122.47267
Grey Culbreth Middle School,Middle,1998-03-30,Chapel Hill,NC,11:00 AM,35.9131542,-79.05578
Oakfield Middle School,Middle,1998-03-31,Oakfield,WI,,43.6861075,-88.5474338
Culver City High School,High,1998-04-23,Los Angeles,CA,2:00 PM,34.0536909,-118.242766
Parker Middle School,Middle,1998-04-24,Edinboro,PA,10:00 PM,41.8742225,-80.1317236
Pardeeville Elementary School,Elementary,1998-04-28,Pardeeville,WI,9:00 PM,43.5377608,-89.3001174
Philadelphia Elementary School,Elementary,1998-04-28,Pomona,CA,,34.0553813,-117.7517496
North Miami Senior High School,High,1998-05-01,Miami,FL,,25.7741728,-80.19362
Public School 18,Elementary,1998-05-01,Buffalo,NY,9:20 AM,42.8867166,-78.8783922
Lincoln County High School,High,1998-05-19,Fayetteville,TN,2:00 PM,35.1520267,-86.5705509
Onalaska High School,High,1998-05-21,Onalaska,WA,,46.5756273,-122.719436
Rialta High School,High,1998-05-21,Rialto,CA,,34.1064001,-117.3703235
Thurston High School,High,1998-05-21,Springfield,OR,7:50 AM,44.0462362,-123.0220289
Washington Middle School,Middle,1998-05-27,Pasadena,CA,6:15 PM,34.1476507,-118.144155
Stranahan High School,High,1998-05-29,Ft. Lauderdale,FL,7:32 AM,26.1223084,-80.1433786
Armstrong High School,High,1998-06-15,Richmond,VA,10:00 AM,37.5385087,-77.43428
Herbert Hoover High School,High,1998-09-11,Glendale,CA,,34.1469416,-118.2478471
Leesburg High School,High,1998-09-30,Leesburg,FL,,28.810823,-81.8778582
North Miami High School,High,1998-09-30,Miami,FL,12:32 PM,25.7741728,-80.19362
Martin Luther King High School,High,1998-11-03,Philadelphia,PA,1:45 PM,39.9527237,-75.1635262
Hancock Middle High School,Middle,1998-11-30,Hancock,NY,9:20 AM,41.9539754,-75.2804502
Ernie Elementary School,Elementary,1998-12-03,Gary,IN,,41.6020962,-87.3370646
Ben Davis Junior High School,Junior High,1998-12-11,Indianapolis,IN,,39.7683331,-86.1583502
Central High School,High,1999-01-08,Carrollton,GA,,33.5801103,-85.0766113
Harry S. Truman High School,High,1999-01-14,New York,NY,9:00 AM,40.7127281,-74.0060152
Richland High School,High,1999-01-21,North Richland Hills,TX,,32.8342952,-97.2289029
Jefferson-Todd Educational Center,Other,1999-02-11,Purvis,MS,,31.1443351,-89.406955
Ombudsman Educational Service Center,High,1999-02-11,Elgin,IL,12:30 PM,42.03726,-88.2810994
Niles West High School,High,1999-03-04,Skokie,IL,10:00 PM,42.0262972,-87.7521069
Notus Jr. Sr. High School,6-12,1999-04-16,Notus,ID,,43.727631,-116.79936837842658
Columbine High School,High,1999-04-20,Littleton,CO,11:19 AM,39.613321,-105.016649
Martin Luther King Jr. Middle School,Middle,1999-04-22,Atlanta,GA,9:45 PM,33.7489924,-84.3902644
Scotlandville Middle School,Middle,1999-04-22,Baton Rouge,LA,12:30 PM,30.4494155,-91.1869659
Heritage High School,High,1999-05-20,Conyers,GA,8:03 AM,33.6676103,-84.0176904
Jasper County High School,High,1999-08-25,Monticello,GA,,33.3044654,-83.684096
Santa Teresa High School,High,1999-09-09,San Jose,CA,8:30 AM,37.3361663,-121.890591
Egypt Lake Elementary School,Elementary,1999-09-27,Tampa,FL,7:30 AM,27.9477595,-82.458444
John Bartram High School,High,1999-10-04,Philadelphia City,SD,10:00 AM,35.03949,-107.51172
Clark High School,High,1999-10-11,Las Vegas,NV,2:40 PM,36.1672559,-115.148516
San Fernando High School,High,1999-10-21,Pacoima,CA,2:40 PM,34.2625025,-118.427027
Guyan Valley High School,High,1999-10-26,Branchland,WV,6:10 AM,38.2209232,-82.2037529
Martin Luther King High School,High,1999-10-26,Philadelphia,PA,1:30 PM,39.9527237,-75.1635262
Dickinson High School,High,1999-11-17,Dickinson,TX,8:00 AM,29.4607876,-95.0513173
Deming Middle School,Middle,1999-11-19,Deming,NM,12:45 PM,32.2627416,-107.7581979
Fort Gibson Middle School,Middle,1999-12-06,Fort Gibson,OK,7:45 AM,35.7975463,-95.2503409
Bartlett High School,High,2000-01-10,Anchorage,AK,,61.2163129,-149.894852
Albuquerque High School,High,2000-01-13,Albuquerque,NM,12:30 PM,35.0841034,-106.650985
Ridgewood High School,High,2000-01-19,New Port Richey,FL,3:00 PM,28.2441768,-82.7192671
Erwin High School,High,2000-01-20,Asheville,NC,,35.595363,-82.5508407
Alicia Reyes Elementary School,Elementary,2000-01-26,Merced,CA,8:34 AM,37.3029568,-120.4843269
South High School,High,2000-01-26,Omaha,NE,,41.2587459,-95.9383758
Penn Wood East Junior High School,Junior High,2000-02-10,Yeadon,PA,2:15 PM,39.9390017,-75.2554605
Duke Ellington Elementary School,Elementary,2000-02-14,Chicago,IL,3:00 PM,41.8755616,-87.6244212
Buell Elementary School,Elementary,2000-02-29,Flint,MI,10:00:00,43.0161693,-83.6900211
Beach High School,High,2000-03-10,Savannah,GA,11:15 PM,32.0790074,-81.0921335
McKinley Elementary School,Elementary,2000-03-23,Lisbon,OH,8:45 AM,40.7720044,-80.7681336
Hugo High School,High,2000-04-06,Hugo,OK,12:00 PM,34.0106208,-95.513122
La Cima Middle School,Middle,2000-04-10,Tucson,AZ,,32.2228765,-110.974847
Thomas Jefferson High School,High,2000-05-02,Denver,CO,,39.7392364,-104.984862
Carmichael Elementary School,Elementary,2000-05-10,Sierra Vista,AZ,1:30 PM,31.5545973,-110.2997756
Lake Worth Middle School,Middle,2000-05-26,Lake Worth,FL,3:00 PM,26.6159698,-80.0569927
Dimmitt Middle School,Middle,2000-07-17,Renton,WA,10:30 AM,47.4799078,-122.2034496
Timken Senior High School,High,2000-07-26,Canton,OH,,40.7985464,-81.3749508
Bidwell Porter Elementary School,Elementary,2000-09-05,Bidwell,OH,6:30 AM,38.9186892,-82.2990401
Longfellow Elementary School,Elementary,2000-09-07,Rock Island,IL,6:58 PM,41.5095446,-90.5792031
Mount Healthy North Junior High,Junior High,2000-09-18,Mount Healthy,OH,,39.2336687,-84.5457778
Carter G. Woodson Middle School,Middle,2000-09-26,New Orleans,LA,12:00 PM,29.9759983,-90.0782127
Minneapolis North High School,High,2000-10-05,Minneapolis,MN,11:00 PM,44.9772995,-93.2654692
Pioneer Elementary School,Elementary,2000-10-24,Glendale,AZ,11:15 AM,33.5386858,-112.185994
Newman Smith High School,High,2000-11-01,Carrollton,TX,8:15 AM,32.9537349,-96.8902816
Granada Hills High School,High,2000-12-01,Los Angeles,CA,7:00 AM,34.0536909,-118.242766
Junipero Serra High School,High,2000-12-01,San Diego,CA,,32.7174202,-117.162772
Richmond High School,High,2000-12-07,Richmond,CA,12:45 PM,37.9357576,-122.347748
Norland Elementary School,Elementary,2000-12-21,Miami,FL,3:45 PM,25.7741728,-80.19362
Balboa High School,High,2001-01-03,San Francisco,CA,9:30 AM,37.7792588,-122.4193286
Hueneme High School,High,2001-01-10,Oxnard,CA,12:50 PM,34.1976308,-119.180381
Lake Clifton Eastern High School,High,2001-01-17,Baltimore,MD,8:45 AM,39.2908816,-76.610759
Osborn High School,High,2001-02-02,Detroit,MI,,42.3315509,-83.0466403
Hoover High School,High,2001-03-02,San Diego,CA,,32.7174202,-117.162772
Santana High School,High,2001-03-05,Santee,CA,9:20 AM,32.8383828,-116.9739167
Largo High School,High,2001-03-06,Largo,MD,5:00 PM,38.8976121,-76.8302489
Bishop Neumann High School,High,2001-03-07,Williamsport,PA,12:00 PM,41.2493292,-77.0027671
Kentwood High School,High,2001-03-07,Covington,WA,,47.3657791,-122.100222
Granite Hills High School,High,2001-03-22,El Cajon,CA,12:54 PM,32.7947731,-116.962526
Lew Wallace High School,High,2001-03-30,Gary,IN,8:15 AM,41.6020962,-87.3370646
Kleb Intermediate School,High,2001-04-02,Houston,TX,10:30 AM,29.7589382,-95.3676974
Wahluke High School,High,2001-04-10,Mattawa,WA,,46.7379045,-119.902822
Monroe City Alternative Center,High,2001-04-20,Monroe,LA,7:20 AM,32.5102427,-92.1032411
John Marshall High School,High,2001-04-25,Cleveland,OH,11:00 PM,41.4996574,-81.6936772
Ennis High School,High,2001-05-15,Ennis,TX,12:00 PM,32.29586435,-96.58129445266832
Ousley Junior High School,High,2001-06-07,Arlington,TX,6:10 PM,32.7355816,-97.1071186
Belmont High School,High,2001-07-30,Los Angeles,CA,7:25 AM,34.0536909,-118.242766
Latonia Elementary School,Elementary,2001-09-12,Covington,KY,3:00 PM,39.0836224,-84.508371
Lake Clifton Eastern High School,High,2001-09-21,Baltimore,MD,1:00 PM,39.2908816,-76.610759
Taylorsville High School,High,2001-10-12,Taylorsville,UT,,40.6676347,-111.9388027
Benito Juarez Academy,High,2001-10-26,Siginaw,MI,1:45 PM,43.924812,-84.633107
Redondo Union High School,High,2001-10-26,Redondo Beach,CA,10:00 AM,33.8455911,-118.3886766
Caro Learning Center,High,2001-11-12,Caro,MI,2:40 PM,43.491132,-83.396897
Friendswood Junior High School,High,2001-11-30,Friendswood,TX,6:00 AM,29.5293998,-95.2010447
Raymond High School,High,2002-01-11,Jackson,MS,12:00 PM,32.2998686,-90.1830408
"Martin Luther King, Jr. High School",High,2002-01-15,New York,NY,2:00 PM,40.7127281,-74.0060152
Oley High School (bus),High,2002-01-24,Oley,PA,,40.3875936,-75.7896403
Brock High School,High,2002-02-01,Brock,TX,,32.6762432,-97.9408718
Gardena High School,High,2002-02-06,Los Angeles,CA,2:50 PM,34.0536909,-118.242766
Roosevelt High School,High,2002-02-07,Chicago,IL,2:50 PM,41.8755616,-87.6244212
John Barrett Middle School,Middle,2002-03-22,Carmichael,CA,,38.617127,-121.3282843
Leith Walk Elementary School,Elementary,2002-04-06,Baltimore,MD,1:00 AM,39.2908816,-76.610759
Abramson High School,High,2002-04-26,New Orleans,LA,9:45 PM,29.9759983,-90.0782127
C M Russell HIgh School,High,2002-10-04,Great Falls,MT,3:30 PM,47.5048851,-111.29189
Page Middle School,High,2002-10-04,San Antonio,TX,8:15 AM,29.4246002,-98.4951405
Benjamin Tasker Middle School,Middle,2002-10-07,Bowie,MD,8:09 AM,38.9424464,-76.7301718
Lincoln High School,High,2002-10-29,Jersey City,NJ,8:30 AM,40.7215682,-74.047455
St. James Catholic School,K-8,2002-11-07,Liberty,MO,12:40 PM,39.246479,-94.419079
Ambler Avenue Elementary School,Elementary,2002-11-15,Los Angeles,CA,5:30 PM,34.0536909,-118.242766
Scurry-Rosser High School,High,2002-11-15,Scurry,TX,8:30 AM,32.5187487,-96.3808167
Osborn High School,High,2002-12-02,Detroit,MI,10:00 AM,42.3315509,-83.0466403
Wind River Middle School,Middle,2002-12-12,Carson,WA,4:40 PM,45.7259894,-121.8203942
Englewood High School,High,2002-12-16,Chicago,IL,3:00 PM,41.8755616,-87.6244212
West Carter Middle School,Middle,2003-01-21,Olive Hill,KY,11:00 AM,38.3000809,-83.1740654
Jenks High School,High,2003-01-30,Jenks,OK,3:00 PM,36.0228734,-95.9683278
Ranum High School,High,2003-02-05,Westminster,CO,8:40 AM,39.8366528,-105.0372046
Clayton Ridge High School,High,2003-03-18,Guttenberg,IA,,42.7858231,-91.0995735
Northeast High School,High,2003-03-21,Meridian,MS,8:00 AM,32.3643098,-88.703656
Rolling Hills Middle School,High,2003-03-30,Watsonville,CA,6:40 PM,45.5922165,9.8224461
Cardozo High School,High,2003-04-01,Washington,DC,12:15 PM,4.6529539,-74.0835643
Walnut High School,High,2003-04-10,Walnut,CA,12:10:00,34.0202894,-117.8653386
Fair Park High School,High,2003-04-14,Shereveport,LA,10:30 AM,,
John McDonogh High School,High,2003-04-14,New Orleans,LA,10:15 AM,29.9759983,-90.0782127
Greenhill Middle School,Middle,2003-04-16,Addison,TX,3:10 PM,32.960477850000004,-96.8300673063398
Red Lion Area Junior High School,Junior High,2003-04-24,Red Lion,PA,7:34 AM,39.9009334,-76.6058001
Forest Hills High School,High,2003-05-13,Johnstown,PA,,40.3267407,-78.9219698
Rock L. Butler Middle School,Middle,2003-06-04,Wellsboro,PA,8:17 AM,41.7486838,-77.3005305
Vicksburg High School,High,2003-09-10,Vicksburg,MS,2:30 PM,32.3528055,-90.8777342
Charlestown High School,K-12,2003-09-17,Boston,MA,2:00 PM,42.3554334,-71.060511
Oklahoma Road Middle School,Middle,2003-09-17,Eldersburg,MD,10:00 AM,39.4037147,-76.9502567
Lewis and Clark High School,High,2003-09-22,Spokane,WA,11:10 AM,47.6571934,-117.42351
Rocori High School,High,2003-09-24,Cold Spring,MN,11:38 AM,45.4557973,-94.4288849
Burns Middle School,Middle,2003-09-25,Lawndale,NC,8:00 AM,35.4140187,-81.5631474
Rio Cazadero High School,High,2003-10-01,Sacramento,CA,9:00 AM,38.5810606,-121.493895
Kenmore High School,High,2003-10-07,Akron,OH,,41.083064,-81.518485
Marion High School,High,2003-10-29,Marion,LA,7:55 AM,32.9015214,-92.2420822
Anacostia High School,High,2003-10-30,Washington,DC,3:15 PM,4.6529539,-74.0835643
Hightower High School,High,2003-11-08,Sugarland,TX,9:20 PM,29.593716,-95.621972
East Mecklenburg High School,High,2003-11-13,Charlotte,NC,11:45 AM,35.2272086,-80.8430827
Fermi Elementary School,Elementary,2003-12-02,Chicago,IL,9:40 PM,41.8755616,-87.6244212
Douglas High School,High,2003-12-04,Oklahoma City,OK,2:10 PM,35.4729886,-97.5170536
Carbondale Community High School,High,2003-12-05,Carbondale,IL,,37.7274692,-89.216655
Old Mill High School,High,2003-12-17,Millersville,MD,,39.0595542,-76.6480219
Colonia High School,High,2003-12-22,Woodbridge,NJ,10:00 PM,40.5536918,-74.2823573
Abess Park Elementary School,Elementary,2003-12-29,East Arlington,FL,4:00 AM,28.8742635,-82.3617429
Pomona High School,High,2004-01-15,Pomona,CA,,34.0553813,-117.7517496
Fay Galloway Elementary School,Elementary,2004-01-21,Henderson,NV,4:50 PM,36.0301134,-114.9826194
Ballou Senior High School,High,2004-02-02,Washington,DC,10:30 AM,4.6529539,-74.0835643
Youens Elementary School,Elementary,2004-02-03,Houston,TX,10:30 AM,29.7589382,-95.3676974
Fair Park High School,High,2004-02-06,Shreveport,LA,,32.5135356,-93.7477839
Columbia High School,High,2004-02-09,East Greenbush,NY,10:30 AM,42.5909135,-73.7017858
T M Peirce Elementary School,Elementary,2004-02-11,Philadelphia,PA,8:30 AM,39.9527237,-75.1635262
Colonel White High School,High,2004-02-13,Dayton,OH,1:00 PM,39.7589478,-84.1916069
Gathway Christian Academy,K-12,2004-02-20,St. Martinville,LA,11:15 AM,30.1252011,-91.8334498
Saledad Enrichment Action Charter High School,High,2004-03-05,Los Angeles,CA,7:35 AM,34.0536909,-118.242766
Crescent Junior-Senior High School,Junior High,2004-03-17,Joyce,WA,10:00 AM,48.1382722,-123.7299345
Kashmere High School,High,2004-05-04,Houston,TX,8:00 AM,29.7589382,-95.3676974
Randallstown High School,High,2004-05-07,Randallstown,MD,4:30 PM,39.3676844,-76.7954545
East Campus Educational Center,K-12,2004-05-12,Merced,CA,5:25 PM,37.3029568,-120.4843269
West High School,High,2004-05-24,Salt Lake City,UT,6:00 AM,40.7596198,-111.886797
Castlemont High School,High,2004-06-09,Oakland,CA,12:22 PM,37.8044557,-122.271356
Huffman High School,High,2004-08-03,Birmingham,AL,8:45 AM,33.5206824,-86.8024326
Hamilton High School,High,2004-08-24,Memphis,TN,,35.1460249,-90.0517638
Proviso East High School,High,2004-08-30,Maywood,IL,2:30 PM,41.8789942,-87.8436412
Booker T. Washington High School,High,2004-09-12,New Orleans,LA,12:00 PM,29.9759983,-90.0782127
Wirt High School,High,2004-09-15,Gary,IN,,41.6020962,-87.3370646
Jefferson Elementary School,Elementary,2004-10-02,Grand Island,NE,6:30 AM,40.924271,-98.338685
Newburyport High School,High,2004-10-07,Newburyport,MA,11:00 PM,42.8125913,-70.8772751
Lakewood Elementary School,Elementary,2004-10-12,Sunnyvale,CA,,37.3688301,-122.036349
Biggs High School,High,2004-10-15,Biggs,CA,8:43 PM,39.4123876,-121.712751
Thurgood Marshall High School,High,2004-10-21,Baltimore,MD,4:00 PM,39.2908816,-76.610759
Tyrrell Elementary School,Elementary,2004-10-22,Hayward,CA,9:55 PM,37.6688205,-122.080796
Brunswick Elementary School,Elementary,2004-11-15,Gary,IN,,41.6020962,-87.3370646
Parker High School,High,2004-11-15,Birmingham,AL,9:00 PM,33.5206824,-86.8024326
Battery Creek High School,High,2004-11-16,Beaufort,SC,6:30 PM,32.4315813,-80.6698286
Apopka Memorial Middle School,Middle,2004-11-17,Apopka,FL,,28.678013,-81.511398
Terry Parker High School,High,2004-11-19,Jacksonville,FL,6:45 AM,30.3321838,-81.655651
Lakeside High School,High,2004-12-09,Spokane,WA,1:20 PM,47.6571934,-117.42351
La Grange High School,High,2004-12-13,Lake Charles,LA,12:30 PM,30.2305095,-93.2169807
Richmond State School,Other,2004-12-31,Richmond,TX,6:00 PM,29.5821811,-95.7607832
Murrell Dobbins Vocational-Technical High School,High,2005-01-05,North Philadelphia,PA,2:48 PM,39.9946558,-75.1543919
Woodruff High School,High,2005-01-26,Peoria,IL,,40.6938609,-89.5891008
McNair High School,High,2005-02-04,Atlanta,GA,,33.7489924,-84.3902644
Bowen High School,High,2005-02-08,Chicago,IL,2:32 PM,41.8755616,-87.6244212
Stewart County High School (bus),High,2005-03-02,Dover,TN,6:15 AM,36.4878291,-87.8383567
Maplewood Comprehensive High School,High,2005-03-09,Nashville,TN,2:00 PM,36.1622767,-86.7742984
Zaragoza Elementary School,Elementary,2005-03-10,Dallas,TX,6:30 PM,32.7762719,-96.7968559
Leawood Elementary School,Elementary,2005-03-14,Columbus,OH,9:00 AM,39.9622601,-83.0007065
Carrick High School,High,2005-03-16,Pittsburgh,PA,1:58 PM,40.4416941,-79.9900861
Locke High School,High,2005-03-17,Los Angeles,CA,3:00 PM,34.0536909,-118.242766
O Perry Walker High School,High,2005-03-17,Algiers,LA,,29.9413467,-90.0375901
New Utrecht High School,High,2005-03-21,Brooklyn,NY,12:00 PM,40.6526006,-73.9497211
Red Lake Senior High School,High,2005-03-21,Red Lake,MN,2:49 PM,47.876346,-95.0169402
Fairly High School,High,2005-03-24,Memphis,TN,,35.1460249,-90.0517638
East High School,High,2005-03-30,Memphis,TN,11:00 AM,35.1460249,-90.0517638
Canton High School,High,2005-04-07,Canton,TX,9:15 AM,32.555664,-95.8640507
Leon Godchaux Junior High School,High,2005-04-27,Reserve,LA,10:00 AM,30.0538131,-90.5517534
Daniel E. Morgan Elementary School,High,2005-04-29,Cleveland,OH,,41.4996574,-81.6936772
Berkner High School,High,2005-05-14,Richardson,TX,7:30 PM,32.9481789,-96.7297206
Highland Elementary School,Elementary,2005-05-17,Lower Allen Township,PA,3:00 PM,40.715934,-75.483051
Locust Elementary School,Elementary,2005-05-20,Marengo,IL,3:00 PM,42.250149,-88.6081303
Academia Ana Marie Sandoval Montessori School,Other,2005-05-24,Denver,CO,1:00 PM,39.7392364,-104.984862
Booker T. Washington High School,High,2005-05-24,Shreveport,LA,1:55 PM,32.5135356,-93.7477839
Arlington High School,High,2005-06-08,Poughkeepsi,NY,2:32 PM,41.64992,-73.92826
Bangs Avenue Elementary School,Elementary,2005-06-12,Asbury Park,NJ,9:30 PM,40.2203907,-74.0120817
Weequahic High School,High,2005-07-18,Newark,NJ,1:30 PM,40.735657,-74.1723667
Country Day High School,High,2005-08-16,Estate Concordia,VI,7:30 AM,17.70331,-64.86404
Planatation Elementary School,Elementary,2005-08-17,Bakersfield,CA,6:00 PM,35.3738712,-119.019463
Morrow High School,High,2005-08-19,Morrow,GA,11:00 AM,33.5831662,-84.3393683
Maury Middle School,Middle,2005-08-25,Dandridge,TN,9:30 AM,36.0153693,-83.4148895
Dimond High School,High,2005-09-01,Anchorage,AK,5:00 PM,61.2163129,-149.894852
Sojourner Truth High School,High,2005-09-02,Jacksonville,FL,12:50 PM,30.3321838,-81.655651
Harlan Community Academy High School,High,2005-09-13,Chicago,IL,2:20 PM,41.8755616,-87.6244212
Saginaw High School,High,2005-09-24,Saginaw,MI,11:30 PM,43.4200387,-83.9490365
Farmington High School,High,2005-10-11,Farmington,MI,8:00 AM,42.4644795,-83.3763219
Samula Tilden High School,High,2005-10-14,New York,NY,9:15 AM,40.7127281,-74.0060152
San Gorgonio High School,High,2005-10-19,San Bernardino,CA,7:40 AM,34.1081621,-117.28946
Saginaw High School,High,2005-10-20,Saginaw,MI,12:00 PM,43.4200387,-83.9490365
Birney Elementary School,Elementary,2005-10-27,Fresno,CA,,36.7394421,-119.78483
Annapolis High School,High,2005-10-28,Annapolis,MD,8:30 PM,38.9786401,-76.492786
Farmingdale High School,High,2005-10-28,Farmingdale,NY,7:45 PM,40.7328811,-73.4458564
Campbell County High School,High,2005-11-08,"Jacksboro, TN",TN,14:00:00,,
Parkway Academy Charter High School (bus),High,2005-11-15,Miramar,FL,7:45 AM,25.9873137,-80.2322706
Irving Middle School,Middle,2005-11-16,San Antonio,TX,,29.4246002,-98.4951405
Boston Day and Evening Academy (High School),High,2005-12-05,Roxbury,MA,2:20 PM,42.3248426,-71.0950158
Central High School,High,2005-12-06,Detroit,MI,1:30 PM,42.3315509,-83.0466403
Santiago High School,High,2005-12-06,Garden Grove,CA,3:00 PM,33.7746292,-117.9463717
Lincoln High School,High,2006-01-03,Jersey City,NJ,3:20 PM,40.7215682,-74.047455
Mount Pleasant High School,High,2006-01-10,Wilmington,DE,,39.7459468,-75.546589
Mary McLeod Bethune Academy,K-8,2006-01-11,Milwaukee,WI,12:30 PM,43.0349931,-87.922497
Milwee Middle School,Middle,2006-01-13,Longwood,FL,9:30 AM,28.7008989,-81.3466055
Osborn High School,High,2006-01-13,Detroit,MI,12:00 PM,42.3315509,-83.0466403
Pinson Valley High School,High,2006-01-13,Pinson,AL,10:58 PM,33.6889908,-86.6833229
Fred Moodry Middle School,Middle,2006-01-18,Anaconda,MT,,46.1294685,-112.953131
Indian River High School,High,2006-01-18,Chesapeake,VA,11:00 AM,36.7183708,-76.2466798
Passmore Elementary School,Elementary,2006-01-18,Alvin,TX,11:55 AM,29.4238472,-95.2441009
Withrow High School,High,2006-01-19,Cincinnati,OH,8:00 PM,39.1014537,-84.5124602
Will C. Wood High School,High,2006-01-23,Vacaville,CA,9:45 AM,38.3565773,-121.9877444
Lakeview Centennial High School,High,2006-01-27,Garland,TX,,32.912624,-96.6388833
C M Russell High School,High,2006-01-30,Great Falls,MT,8:00 AM,47.5048851,-111.29189
Longfellow Elementary School (bus),Elementary,2006-02-03,Compton,CA,8:20 AM,33.894927,-118.226624
William Penn High School,High,2006-02-09,New Castle,DE,8:50 PM,39.6620572,-75.5663132
West York Area High School,High,2006-02-15,York,PA,,39.9624588,-76.7277218
Westinghouse High School,High,2006-02-21,Pittsburgh,PA,7:45 AM,40.4416941,-79.9900861
Roseburg High School,High,2006-02-23,Roseburg,OR,7:45 AM,43.216505,-123.3417381
I S 89 Middle School,Middle,2006-03-10,New York,NY,8:20 AM,40.7127281,-74.0060152
Pine Middle School,Middle,2006-03-14,Reno,NV,9:00 AM,39.5261206,-119.8126581
Roosevelt Senior High School,High,2006-04-05,Washington,DC,9:15 AM,4.6529539,-74.0835643
Westbury High School (bus),High,2006-04-18,Houston,TX,5:00 PM,29.7589382,-95.3676974
East Chapel Hill High School,High,2006-04-24,Chapel Hill,NC,5:00 PM,35.9131542,-79.05578
Parkway Academy,High,2006-05-05,Miramar,FL,11:35 PM,25.9873137,-80.2322706
Butch Fork High School,High,2006-05-22,Irmo,SC,10:00 AM,34.08846885,-81.1802101384121
Northampton Area Senior High School,High,2006-05-25,Northampton,PA,7:50 AM,40.6871831,-75.4896654
Venice High School,High,2006-06-05,Los Angeles,CA,3:10 PM,34.0536909,-118.242766
Wirt High School,High,2006-06-06,Gary,IN,,41.6020962,-87.3370646
Pershing High School,High,2006-06-15,Detroit,MI,6:05 PM,42.3315509,-83.0466403
Young Middle Magnet School,Middle,2006-07-31,Tampa,FL,6:20 AM,27.9477595,-82.458444
J T Alton Middle School,Middle,2006-08-15,Vine Grove,KY,,37.8100674,-85.9813524
Mendez Middle School,Middle,2006-08-17,Austin,TX,8:00 PM,30.2711286,-97.7436995
South High School,High,2006-08-19,Youngstown,OH,3:45 PM,41.1035786,-80.6520161
Lyman Hall Elementary School,High,2006-08-20,Hinesville,GA,7:30 PM,31.8477347,-81.5960705
Castle High School,High,2006-08-21,Newburgh,IN,,37.9456824,-87.4046571
Essex Elementary School,Elementary,2006-08-24,Essex Junction,VT,,44.4906817,-73.11136
Anacostia Senior High School,High,2006-08-29,Washington,DC,3:15 PM,4.6529539,-74.0835643
Orange High School,High,2006-08-30,Hillsborough,NC,1:00 PM,36.0752088,-79.0992085
Oxford High School,High,2006-08-31,Oxford,AL,9:40 PM,33.6149211,-85.8339391
Kingsbury Middle School,Middle,2006-09-05,Memphis,TN,,35.1460249,-90.0517638
South Hills High School,High,2006-09-08,Fort Worth,TX,1:20 PM,32.753177,-97.3327459
Westminster Christian Academy,High,2006-09-13,Creve Coeur,MO,,38.6613007,-90.4423653
Cardozo High School,High,2006-09-21,Washington,DC,12:15 PM,4.6529539,-74.0835643
Platte Canyon High School,High,2006-09-27,Bailey,CO,11:40:00,39.4064662,-105.4717013
Weston High School,High,2006-09-29,Cazenovia,WI,8:10 AM,43.5230345,-90.196238
West Nickel Mines School,K-12,2006-10-02,Nickel Mines,PA,11:07 AM,40.860198,-77.838617
Memorial Middle School,Middle,2006-10-09,Joplin,MO,7:45 AM,37.0841838,-94.5133385
Ponoma Middle School ,Middle,2006-10-10,Pomona,NY,4:00 PM,41.189153,-74.054249
Grove Park Elementary School,Elementary,2006-10-12,Baltimore,MD,,39.2908816,-76.610759
Seven Lakes High School,High,2006-10-17,Katy,TX,11:55 AM,29.7857853,-95.8243956
Halls High School,High,2006-10-31,Knoxville,TN,10:30 PM,35.9603948,-83.9210261
Lionel Wilson College Prep School,High,2006-11-11,Oakland,CA,11:00 PM,37.8044557,-122.271356
Sammye E. Coan Middle School,Middle,2006-11-22,Atlanta,GA,5:40 PM,33.7489924,-84.3902644
Jones Senior High School,High,2006-12-01,Trenton,NC,10:20 PM,35.0636588,-77.3534758
Northwest High School,High,2006-12-07,Omaha,NE,,41.2587459,-95.9383758
Clemente High School,High,2006-12-11,Chicago,IL,2:45 PM,41.8755616,-87.6244212
Springfield Township High School,High,2006-12-12,Springfield Township,PA,9:00 AM,40.09417035,-75.20758272622663
Bangor Area High School,High,2006-12-13,Bangor,PA,2:30 PM,40.86577,-75.2064003
McGuffey High School,High,2006-12-14,Claysville,PA,5:00 PM,40.1178504,-80.4103439
Westover High School,High,2007-01-02,Fayetteville,NC,3:01 PM,35.0525759,-78.878292
Henry Foss High School,High,2007-01-03,Tacoma,WA,7:30 AM,47.2455013,-122.438329
Northwestern High School,High,2007-01-04,Detroit,MI,,42.3315509,-83.0466403
Robert A. Taft Information Technology High School,High,2007-01-08,Cincinnati,OH,10:45 AM,39.1014537,-84.5124602
Grant High School,High,2007-01-09,Van Nuys,CA,3:15 PM,34.1866193,-118.4486675
Western High School,High,2007-01-09,Las Vegas,NV,6:30 AM,36.1672559,-115.148516
William L.Sayre High School,High,2007-01-18,Philadelphia,PA,8:25 AM,39.9527237,-75.1635262
