School,Year,Date,Time,City,State,Killed,Injured,Latitude,Longitude
Decatur High School,2019,12/10/2019,8:20 AM,Decatur,Alabama,0,0,34.6060203,-86.9838165
Sacred Heart School,2019,12/10/2019,12:45 PM,Jersey City,New Jersey,0,0,40.7215682,-74.047455
Catholic Academy of New Haven,2019,12/16/2019,9:00 AM,New Haven,Connecticut,0,0,41.3082138,-72.9250518
Bellaire High School,2020,1/14/2020,4:00 PM,Bellaire,Texas,1,0,29.7057858,-95.4588299
McAuliffe Elementary School,2020,1/23/2020,11:30 AM,Oxnard,California,0,1,34.1976308,-119.180381
West High School,2020,2/13/2020,3:00 PM,Salt Lake City,Utah,0,0,40.7596198,-111.886797
Antioch High School,2020,2/19/2020,9:30 AM,Antioch,California,0,0,38.0049214,-121.805789
Cesar Chavez Community School,2020,2/21/2020,11:00 AM,Albuquerque,New Mexico,0,0,35.0841034,-106.650985
Sagemont School,2020,3/5/2020,12:00 PM,Weston,Florida,0,1,26.1003392,-80.399513
Ribault High School,2020,10/9/2020,2:00 PM,Jacksonville,Florida,0,1,30.3321838,-81.655651
Lincoln Elementary School,2020,11/13/2020,2:00 PM,Leland,North Carolina,0,1,34.236434,-78.0040029
Hendersonville Middle School,2020,11/24/2020,7:45 AM,Hendersonville,North Carolina,0,1,35.3187279,-82.4609528
Watson Chapel Junior High,2021,3/1/2021,9:55 AM,Pine Bluff,Arkansas,1,0,34.2157064,-92.0140402
Wayne Central Middle School,2021,3/1/2021,9:40 AM,Ontario,New York,0,1,43.2208968,-77.2830421
Achievement First Amistad High School,2021,3/4/2021,8:10 AM,New Haven,Connecticut,0,0,41.3082138,-72.9250518
Edwards Elementary School,2021,3/8/2021,1:30 PM,Chesterfield,South Carolina,0,1,34.735989,-80.0881194
Bishop Hartley High School,2021,3/9/2021,8:50 AM,Columbus,Ohio,0,0,39.9622601,-83.0007065
Selma High School,2021,4/1/2021,1:00 PM,Selma,Alabama,0,0,32.4078632,-87.0207473
Austin-East Magnet High,2021,4/12/2021,3:15 PM,Knoxville,Tennessee,0,1,35.9603948,-83.9210261
Ply_mouth Middle School,2021,4/26/2021,8:44 AM,Ply_mouth,Minnesota,0,0,46.63636,-94.579641
Smyrna Middle School,2021,4/27/2021,10:25 AM,Smyrna,Delaware,1,0,39.2998339,-75.6046494
Urban Dove Team Charter School,2021,4/29/2021,2:45 PM,Brooklyn,New York,1,0,40.6526006,-73.9497211
Mary Evelyn Castle Elementary School,2021,4/30/2021,1:00 PM,Indianapolis,Indiana,0,1,39.7683331,-86.1583502
Ware Shoals High School,2021,5/5/2021,8:00 AM,Ware Shoals,South Carolina,0,0,34.3983739,-82.2467121
Rigby Middle School,2021,5/6/2021,9:00 AM,Rigby,Idaho,0,3,43.6751937,-111.918002
North Forest High School,2021,6/9/2021,10:30 AM,Houston,Texas,0,1,29.7589382,-95.3676974
Saint Francis de Sales School,2021,8/6/2021,1:00 PM,Houma,Louisiana,0,1,29.5957696,-90.7195348
Lithonia High School,2021,8/12/2021,3:00 PM,Lithonia,Georgia,0,1,33.7123305,-84.1051939
Washington Middle School,2021,8/13/2021,12:45 PM,Albuquerque,New Mexico,1,0,35.0841034,-106.650985
Orangeburg-Wilkinson High School,2021,8/18/2021,4:00 PM,Orangeburg,South Carolina,0,3,33.4918203,-80.8556476
New Hanover High School,2021,8/30/2021,11:00 AM,Wilmington,North Carolina,0,1,34.2257282,-77.9447107
Mount Tabor High School,2021,9/1/2021,12:00 PM,Winston-Salem,North Carolina,1,0,36.0998131,-80.2440518
LaVergne High School,2021,9/7/2021,3:30 PM,Lavergne,Tennessee,0,0,44.5916526,0.3965836
Tri-County Education Center,2021,9/8/2021,2:30 PM,Ferndale,Michigan,0,0,42.4605917,-83.1346478
Heritage High School,2021,9/20/2021,11:39 AM,Newport News,Virginia,0,2,36.9775016,-76.42977
Newton County Elementary School,2021,9/30/2021,1:45 PM,Decatur,Mississippi,0,1,32.4390303,-89.1083912
Cummings K-8 Optional School,2021,9/30/2021,10:00 AM,Memphis,Tennessee,0,1,35.1460249,-90.0517638
YES Prep Southwest Secondary,2021,10/1/2021,11:45 AM,Houston,Texas,0,1,29.7589382,-95.3676974
Timberview High School,2021,10/6/2021,9:15 AM,Arlington,Texas,0,4,32.7355816,-97.1071186
Little Rock Central High School,2021,10/12/2021,11:27 AM,Little Rock,Arkansas,0,0,34.7465071,-92.2896267
Wendell Phillips Academy High School,2021,10/12/2021,3:15 PM,Chicago,Illinois,0,2,41.8755616,-87.6244212
James McDade Classical School,2021,10/13/2021,8:38 AM,Chicago,Illinois,0,0,41.8755616,-87.6244212
Cathedral School,2021,10/26/2021,9:20 AM,Natchez,Mississippi,0,0,31.5604076,-91.403171
Poughkeepsie High School,2021,11/15/2021,3:15 PM,Poughkeepsie,New York,0,0,41.7065539,-73.9283672
P.S. 44,2021,11/16/2021,2:15 PM,Bronx,New York,0,0,40.8466508,-73.8785937
Hinkley High School,2021,11/19/2021,12:00 PM,Aurora,Colorado,0,3,39.7405111,-104.830994
Thornton Township High School,2021,11/24/2021,3:00 PM,Harvey,Illinois,0,0,41.6100344,-87.6467132
Cesar Chavez High School,2021,11/29/2021,3:00 PM,Laveen,Arizona,0,1,33.3618814,-112.1533861
Oxford High School,2021,11/30/2021,12:50 PM,Oxford,Michigan,4,7,42.8247524,-83.2646624
Sam Rayburn High School,2021,12/1/2021,11:00 PM,Pasadena,Texas,0,0,29.6910753,-95.2092076
Great Oaks Charter School,2021,12/9/2021,9:30 AM,New York,New York,0,0,40.7127281,-74.0060152
Jesse C. Carson High School,2021,12/9/2021,2:00 PM,China Grove,North Carolina,0,0,35.569306,-80.5817318
West Charlotte High School,2021,12/13/2021,2:15 PM,Charlotte,North Carolina,0,0,35.2272086,-80.8430827
Eau Claire High School,2021,12/16/2021,3:00 PM,Columbia,South Carolina,0,0,34.0003117,-81.0331309
Auburn High School,2022,1/4/2022,1:10 PM,Rockford,Illinois,0,2,42.2713945,-89.093966
Seminole High School,2022,1/19/2022,12:00 PM,Sanford,Florida,0,1,28.8117345,-81.2680223
Oliver Citywide Academy,2022,1/19/2022,1:45 PM,Pittsburgh,Pennsylvania,1,0,40.4416941,-79.9900861
Magruder High School,2022,1/21/2022,1:00 PM,Rockville,Maryland,0,1,39.0817985,-77.1516844
South Education Center,2022,2/1/2022,12:07 PM,Richfield,Minnesota,1,1,44.8766431,-93.2877877
Mount Vernon High School,2022,2/8/2022,2:00 PM,Mount Vernon,New York,0,0,40.9125085,-73.8386504
Liberty Point International School,2022,2/22/2022,3:30 PM,Pueblo West,Colorado,1,0,38.3229862,-104.741617
Jonesboro High School,2022,2/28/2022,,Clayton County,Georgia,0,0,33.5204959,-84.3591713
Olathe East High School,2022,3/4/2022,10:30 AM,Olathe,Kansas,0,2,38.8838856,-94.81887
East High School,2022,3/7/2022,3:00 PM,Des Moines,Iowa,1,2,41.5910323,-93.6046655
North Gardens High School,2022,3/9/2022,1:30 PM,Miami Gardens,Florida,0,3,25.9420377,-80.2456045
De Anza High School,2022,3/11/2022,,Richmond,California,0,1,37.9357576,-122.347748
Eisenhower High School,2022,3/15/2022,3:00 PM,Yakima,Washington,1,0,46.601557,-120.510842
Mott-Regent School,2022,3/21/2022,,Hettinger County,North Dakota,1,0,46.4448014,-102.4167046
Rippon Middle School,2022,3/22/2022,11:00 AM,Woodbridge,Virginia,0,0,38.6581723,-77.2497049
Western High School,2022,3/29/2022,2:15 PM,Las Vegas,Nevada,0,2,36.1672559,-115.148516
West Philadelphia Achievement Charter Elementary School,2022,3/31/2022,9:00 AM,Philadelphia,Pennsylvania,0,0,39.9527237,-75.1635262
Tanglewood Middle,2022,3/31/2022,12:26 PM,Greenville,South Carolina,1,0,34.851354,-82.3984882
Lowellville Junior/Senior High School,2022,4/5/2022,10:00 AM,Lowellville,Ohio,0,0,41.0359418,-80.5362257
Erie High School,2022,4/5/2022,9:20 AM,Erie,Pennsylvania,0,1,42.1294712,-80.0852695
Pine Bluff High School,2022,4/11/2022,2:45 PM,Pine Bluff,Arkansas,0,0,34.2157064,-92.0140402
Edmund Burke School,2022,4/22/2022,3:18 PM,Washington,District of Columbia,0,4,38.8950368,-77.0365427
Aspen Ridge Elementary School,2022,4/26/2022,1:30 PM,West Ishpeming,Michigan,0,0,46.4835473,-87.7009688
Heights High School,2022,5/12/2022,1:15 PM,Houston,Texas,0,1,29.7589382,-95.3676974
Alexander W. Dreyfoos School of Arts,2022,5/13/2022,11:58 AM,West Palm Beach,Florida,1,0,26.715364,-80.0532942
Walt Disney Magnet School,2022,5/17/2022,10:00 AM,Chicago,Illinois,0,1,41.8755616,-87.6244212
Mexia High School,2022,5/17/2022,11:20 AM,Mexia,Texas,0,0,31.307819000000002,-96.62978728122914
Robb Elementary School,2022,5/24/2022,11:33 AM,Uvalde,Texas,21,12,29.2095883,-99.7861833
Ulysses S. Grant High School,2022,6/1/2022,3:25 PM,Los Angeles,California,0,1,34.0536909,-118.242766
Walnut Park Elementary,2022,6/9/2022,9:30 AM,Gadsden,Alabama,1,1,34.0128323,-86.0030251
John Finney High School,2022,7/20/2022,9:25 AM,Vallejo,California,0,0,38.1040864,-122.2566367
Madison Park Academy,2022,8/29/2022,1:30 PM,Oakland,California,0,1,37.8044557,-122.271356
Mergenthaler Vocational Technical High School,2022,9/2/2022,3:00 PM,Baltimore,Maryland,1,0,39.2908816,-76.610759
Treasure Cost Classical Academy,2022,9/19/2022,,Stuart,Florida,0,0,27.197983,-80.2519175
Mankato West High School,2022,9/20/2022,12:00 PM,Mankoto,Minnesota,0,0,13.05,-14.16667
Rudsdale High School,2022,9/28/2022,12:45 PM,Oakland,California,0,6,37.8044557,-122.271356
Jeremiah E. Burke High School,2022,10/4/2022,9:30 AM,Dorchester,Massachusetts,0,1,42.2973205,-71.0744952
James Madison Academic Campus,2022,10/10/2022,3:30 PM,Milwaukee,Wisconsin,0,1,43.0349931,-87.922497
Central Visual and Performing Arts High School,2022,10/24/2022,9:10 AM,St. Louis,Missouri,2,7,38.6280278,-90.1910154
Ingraham High School,2022,11/8/2022,,Seattle,Washington,1,0,47.6038321,-122.330062
Ball Elementary School,2022,11/11/2022,1:26 PM,Ball,Louisiana,0,2,31.4154451,-92.4115395
South Vermillion High School,2022,11/17/2022,9:30 AM,Clinton,Indiana,0,1,39.6569817,-87.3980741
Freedom Preparatory High School,2022,12/5/2022,12:27 PM,Memphis,Tennessee,0,1,35.1460249,-90.0517638
Suitland High School,2022,12/8/2022,10:00 AM,Forestville,Maryland,0,1,38.8451131,-76.8749722
Fuquay-Varina Middle School,2022,12/8/2022,8:03 AM,Fuquay-Varina,North Carolina,0,0,35.5843849,-78.7998691
Cleveland High School,2022,12/12/2022,12:30 PM,Portland,Oregon,0,1,45.5202471,-122.674194
Benjamin Franklin High School,2023,1/5/2023,,Rochester,New York,0,0,43.157285,-77.615214
Beechcroft High School,2023,1/6/2023,11:30 AM,Columbus,Ohio,0,0,39.9622601,-83.0007065
Richneck Elementary School,2023,1/6/2023,2:00 PM,Newport News,Virginia,0,1,36.9775016,-76.42977
William Penn High School,2023,1/10/2023,11:40 AM,New Castle,Delaware,0,0,39.6620572,-75.5663132
Booker T. Washington High School,2023,1/10/2023,3:30 PM,New Orleans,Louisiana,0,1,29.9759983,-90.0782127
Plaza Academy,2023,1/24/2023,12:34 PM,Kansas City,Missouri,0,1,39.100105,-94.5781416
Taylorsville High School,2023,1/26/2023,,Taylorsville,Utah,0,0,40.6676347,-111.9388027
Gila Ridge High School,2023,1/30/2023,8:30 AM,Yuma,Arizona,0,2,32.665135,-114.47603157249804
Geary Elementary School,2023,1/31/2023,,Geary,Oklahoma,0,0,35.6302132,-98.3184548
Ridgeview Jr. High School,2023,2/2/2023,10:00 AM,Pickerington,Ohio,0,0,39.8842304,-82.7535049
PS 78,2023,2/13/2023,12:35 PM,Staten Island,New York,0,0,40.5834557,-74.1496048
Dalhart ISD schools,2023,2/13/2023,12:00 PM,Dalhart,Texas,1,0,36.060408,-102.5180763
Westinghouse Academy,2023,2/14/2023,,Pittsburgh,Pennsylvania,0,4,40.4416941,-79.9900861
Palo Duro High School,2023,3/6/2023,2:00 PM,Amarillo,Texas,0,1,35.2072185,-101.833824
Lamar High School,2023,3/20/2023,6:55 AM,Arlington,Texas,1,1,32.7355816,-97.1071186
Anniston High School,2023,3/22/2023,12:45 PM,Anniston,Alabama,0,1,33.6624824,-85.8283224
East High School,2023,3/22/2023,9:55 AM,Denver,Colorado,0,2,39.7392364,-104.984862
Northridge Middle School,2023,3/24/2023,,Middlebury,Indiana,0,0,41.6750714,-85.7060263
The Covenant School,2023,3/27/2023,10:13 AM,Nashville,Tennessee,6,0,36.1622767,-86.7742984
George Wythe High School,2023,4/27/2023,12:02 PM,Richmond,Virginia,0,2,37.5385087,-77.43428
West High School,2023,4/28/2023,9:20 AM,Knoxville,Tennessee,0,1,35.9603948,-83.9210261
International Academy of Flint K12,2023,5/2/2023,3:30 PM,Flint,Michigan,0,1,43.0161693,-83.6900211
Von Tobel Ed MS,2023,5/8/2023,12:30 PM,Las Vegas,Nevada,0,1,36.1672559,-115.148516
E. Washington Rhodes Elementary School,2023,5/8/2023,11:30 AM,Philadelphia,Pennsylvania,0,0,39.9527237,-75.1635262
Roosevelt High School,2023,5/17/2023,2:25 PM,Washington,District of Columbia,1,0,38.8950368,-77.0365427
St. John's Prep,2023,5/22/2023,,Danvers,Massachusetts,0,0,42.566751,-70.9368313
Oliver Citywide Academy,2023,5/24/2023,7:30 AM,Pittsburgh,Pennsylvania,1,0,40.4416941,-79.9900861
Michigan Collegiate High School,2023,6/5/2023,2:40 PM,Warren,Michigan,0,0,42.4932575,-83.0062746
